library order	Biosample name	Vocabulary representative	DCC Experiment ID	DCC Library ID	DCC Biosample ID	Altius Aggregation ID	Altius Library ID	Altius Biosample ID	Replicate indicators	System	Subsystem	Organ	Biosample type	Biological state	Germ layer	Description 	Growth stage	Age	Sex	Ethnicity	Donor ID	Biosample protocol	Experiment protocol	Library kit method	Library cleanup	DNaseI units/mL	Amount Nucleic Acid (ng)	Nuclei count	Protease inhibitor	Library sequencing date	Reads used	DCC SPOT score	Per-biosample peaks	DHSs in Index
360	fMuscle_arm		ENCSR956NOL	ENCLB977RMY	ENCBS261IIB	AG8975	LN4252	DS18379		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	127D	M		H24078	Biosample protocol	Experiment protocol	TS	minElute	80	24.2	3330000	A+Sucrose	2011-03-07	19386603	0.3858	21784	21529
361	fThymus		ENCSR164PQJ	ENCLB358YNV	ENCBS054CPR	AG8974	LN4253	DS18382		Hematopoietic	T-cell	Blood	Primary	Primary	Mesoderm	Thymus	Fetal	127D	M		H24078	Biosample protocol	Experiment protocol	In-PE	minElute	60	23.9	8160000	A+Sucrose	2011-03-08	82616244	0.3709	64196	64012
362	fMuscle_leg		ENCSR622CAH	ENCLB170YEF	ENCBS611ZBY	AG8973	LN4254	DS18386		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_leg	Fetal	127D	M		H24078	Biosample protocol	Experiment protocol	PE	minElute	60	10.2	5260000	A+Sucrose	2011-03-08	25756267	0.601	58422	58245
363	fStomach		ENCSR608AHQ	ENCLB281EIZ	ENCBS159PIU	AG8972	LN4255	DS18389		Digestive		Stomach	Primary	Primary	Endoderm	Stomach	Fetal	127D	M		H24078	Biosample protocol	Experiment protocol	In-PE	minElute	80	18.7	4140000	A+Sucrose	2011-03-08	29924057	0.3687	39430	39156
364	fLung_R		ENCSR964VVW	ENCLB592GHD	ENCBS421OZO	AG8971	LN4266	DS18418		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	96D	M		H24089	Biosample protocol	Experiment protocol	TS	minElute	80	19	5360000	A+Sucrose	2011-03-14	42142736	0.4003	58647	58205
365	fLung_L		ENCSR639XWF	ENCLB768HDS	ENCBS516MKG	AG8970	LN4267	DS18421		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	96D	M		H24089	Biosample protocol	Experiment protocol	TS	minElute	60	22.5	8000000	A+Sucrose	2011-03-14	38748464	0.5152	61231	60920
366	fKidney_renal_cortex		ENCSR849OKE	ENCLB632OMU	ENCBS653WIT	AG8969	LN4269	DS18428		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	127D	M		H24078	Biosample protocol	Experiment protocol	TS	minElute	70	65.4	6480000	A+Sucrose	2011-03-14	38754907	0.311	38545	38181
367	fKidney_renal_pelvis		ENCSR301RCD	ENCLB963GDY	ENCBS266YGB	AG8968	LN4270	DS18431		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	127D	M		H24078	Biosample protocol	Experiment protocol	TS	minElute	60	88.7	10360000	A+Sucrose	2011-03-14	30693223	0.3326	34103	33869
368	vHMEC		ENCSR228VNQ	ENCLB172FJJ	ENCBS090LBL	AG8967	LN4271	DS18438	DS18406	Epithelial		Mammary	Primary	Primary	Ectoderm	vHMEC	Adult				RM035	Biosample protocol	Experiment protocol	TS	minElute	140	47.5	6560000	PBS+A	2011-03-15	25312062	0.5219	63372	63281
369	fMuscle_arm		ENCSR888GBS	ENCLB092XXK	ENCBS655AMM	AG8966	LN4277	DS18452		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	96D	M		H24089	Biosample protocol	Experiment protocol	TS	minElute	100	32	4950000	A+Sucrose	2011-03-16	38340347	0.3526	42499	42101
370	fMuscle_back		ENCSR438TWI	ENCLB661ANA	ENCBS630IBZ	AG8965	LN4278	DS18454		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_back	Fetal	96D	M		H24089	Biosample protocol	Experiment protocol	TS	minElute	80	19.4	5310000	A+Sucrose	2011-03-16	31343341	0.4715	51524	51259
371	fMuscle_leg		ENCSR059LXL	ENCLB805KFK	ENCBS517FUR	AG8964	LN4279	DS18456		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_leg	Fetal	96D	M		H24089	Biosample protocol	Experiment protocol	TS	minElute	80	44.5	5850000	A+Sucrose	2011-03-17	37267414	0.3649	43018	42556
372	fKidney_R		ENCSR670ZSA	ENCLB902FNG	ENCBS697UKL	AG8963	LN4280	DS18463		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	96D	M		H24089	Biosample protocol	Experiment protocol	TS	minElute	70	27.1	5400000	A+Sucrose	2011-03-17	37549811	0.3214	39971	39529
373	fKidney_L		ENCSR184DFF	ENCLB028AOF	ENCBS610XAP	AG8962	LN4281	DS18466		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	96D	M		H24089	Biosample protocol	Experiment protocol	TS	minElute	70	45.8	7700000	A+Sucrose	2011-03-18	35118095	0.3697	39868	39381
374	fMuscle_back		ENCSR357RED	ENCLB321ISX	ENCBS645HGQ	AG8961	LN4282	DS18468		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_back	Fetal	105D	M		H24111	Biosample protocol	Experiment protocol	TS	minElute	30	26.2	5260000	A+Sucrose	2011-03-18	31936987	0.502	44281	43857
375	fMuscle_leg		ENCSR514QHN	ENCLB884SCJ	ENCBS023IXF	AG8960	LN4283	DS18471		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_leg	Fetal	105D	M		H24111	Biosample protocol	Experiment protocol	TS	minElute	80	29.2	5220000	A+Sucrose	2011-03-18	33844982	0.516	43930	43407
376	fMuscle_arm		ENCSR949JYS	ENCLB217KTX	ENCBS017GIN	AG8959	LN4284	DS18473		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	105D	M		H24111	Biosample protocol	Experiment protocol	TS	minElute	100	36.5	3780000	A+Sucrose	2011-03-18	35396641	0.3621	35916	35373
377	fLung_L		ENCSR953WJO	ENCLB644YJH	ENCBS117CVU	AG8958	LN4290	DS18487		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	105D	M		H24111	Biosample protocol	Experiment protocol	TS	minElute	80	23	5680000	A+Sucrose		46622799	0.526	68975	68478
378	fLung_R		ENCSR846CTA	ENCLB798SCI	ENCBS122USS	AG8957	LN4292	DS18492		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	105D	M		H24111	Biosample protocol	Experiment protocol	TS	minElute	80	47.9	10540000	A+Sucrose	2011-03-22	38834905	0.5298	60865	60405
379	fIntestine_Lg		ENCSR666YVE	ENCLB932ALS	ENCBS851SYD	AG8955	LN4295	DS18499		Digestive		Large Intestine	Primary	Primary	Endoderm	Intestine_Lg	Fetal	105D	M		H24111	Biosample protocol	Experiment protocol	TS	minElute	60	45.8	4810000	A+Sucrose	40624	35140454	0.301	28583	28201
380	fSpinal_cord		ENCSR148MFM	ENCLB294ZTA	ENCBS300UPT	AG8954	LN4296	DS18501		Nervous		Spinal Cord	Primary	Primary	Ectoderm	Spinal_cord	Fetal	105D	M		H24111	Biosample protocol	Experiment protocol	TS	minElute	100	12.6	5760000	A+Sucrose	2011-03-22	40845620	0.3683	37223	36720
381	fKidney_renal_cortex_L		ENCSR588JXI	ENCLB649FHR	ENCBS674SNK	AG8951	LN4313	DS18542		Renal		Kidney	Primary	Primary	Mesoderm	Kidney_renal_cortex_L	Fetal	105D	M		H24111	Biosample protocol	Experiment protocol	TS	minElute	60	25.3	4410000	A+Sucrose	2011-03-25	37943660	0.3568	37473	36872
382	fMuscle_arm		ENCSR826ERZ	ENCLB138MMZ	ENCBS180RZG	AG8950	LN4317	DS18559		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	101D	U		H24125	Biosample protocol	Experiment protocol	TS	minElute	80	9.1	6480000	A+Sucrose	2011-03-28	25169765	0.4966	43489	43268
383	Skin_Melanocytes		ENCSR434OBM	ENCLB256YWS	ENCBS425NOG	AG8949	LN4335	DS18601	DS18590	Integumentary		Skin	Primary	Primary	Ectoderm	Skin_Melanocytes	Neonatal	neonatal	M		Skin 01	Biosample protocol	Experiment protocol	TS	minElute	120	20.3	6720000	PBS+A	2011-03-29	42180617	0.5569	85386	85090
384	GM04503D		ENCSR000EMO	ENCLB430ZZZ	ENCBS015ENC	AG4045	LN4346	DS18637	DS18640	Connective		Skin	Primary	Primary	Mesoderm	Fibroblast	Adult	31Y	F	Cauc	Family # 731	Biosample protocol	Experiment protocol	TS	minElute	160	8.7	5620000	PBS+A	2011-04-04	34450442	0.661	77570	77473
385	GM04503D		ENCSR000EMO	ENCLB431ZZZ	ENCBS339GFS	AG4044	LN4347	DS18640	DS18637	Connective		Skin	Primary	Primary	Mesoderm	Fibroblast	Adult	31Y	F	Cauc	Family # 731	Biosample protocol	Experiment protocol	TS	minElute	160	9.1	5450000	PBS+A	2011-04-04	24220734	0.6406	52692	52576
386	fKidney_renal_pelvis_R		ENCSR761ZFA	ENCLB255VJZ	ENCBS935VKR	AG8948	LN4358	DS18663		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	105D	M		H24111	Biosample protocol	Experiment protocol	TS	minElute	60	27.4	3900000	A+Sucrose	2011-04-05	31681568	0.4555	48316	48093
387	fKidney_renal_pelvis_L		ENCSR318JAA	ENCLB089WJX	ENCBS257BTU	AG8947	LN4359	DS18666		Renal		Kidney	Primary	Primary	Mesoderm	fKidney	Fetal	105D	M		H24111	Biosample protocol	Experiment protocol	TS	minElute	60	8.7	4770000	A+Sucrose	2011-04-05	28413374	0.442	37221	36980
388	Skin_Melanocytes		ENCSR518JGY	ENCLB426IYP	ENCBS916SKO	AG8946	LN4360	DS18668	DS19662	Integumentary		Skin	Primary	Primary	Ectoderm	Skin_Melanocytes	Neonatal	neonatal			Skin 02	Biosample protocol	Experiment protocol	TS	minElute	80	5.2	11450000	PBS+A	2011-04-05	32632314	0.3337	78398	78299
389	Skin_Keratinocytes		ENCSR035RVH	ENCLB743XEL	ENCBS293IRA	AG8945	LN4367	DS18695	DS18692	Integumentary		Skin	Primary	Primary	Endoderm	Skin_Keratinocytes	Neonatal	neonatal	M		Skin 01	Biosample protocol	Experiment protocol	TS	minElute	120	30.7	5850000	PBS+A	2011-04-07	30701650	0.5817	72006	71872
390	Skin_Keratinocytes		ENCSR724CND	ENCLB455HSH	ENCBS773VQF	AG8944	LN4373	DS18714	DS18718	Integumentary		Skin	Primary	Primary	Endoderm	Skin_Keratinocytes	Neonatal	neonatal	M		Skin 02	Biosample protocol	Experiment protocol	TS	minElute	160	27.2	5430000	PBS+A	2011-04-07	27012002	0.5544	62730	62601
391	Skin_Keratinocytes		ENCSR724CND	ENCLB305MIW	ENCBS773VQF	AG8943	LN4374	DS18718	DS18714	Integumentary		Skin	Primary	Primary	Endoderm	Skin_Keratinocytes	Neonatal	neonatal	M		Skin 02	Biosample protocol	Experiment protocol	TS	minElute	160	48.2	6360000	PBS+A	2011-04-07	35200561	0.5544	75938	75773
392	Mesendoderm		ENCSR714DIF	ENCLB383SUW	ENCBS084NIJ	AG8942	LN4376	DS18732	DS19310	Embryonic		Germ	Lines	ESC	Primitive	Mesendoderm	Embryonic				H1P28	Biosample protocol	Experiment protocol	TS	minElute	80	37.3	6090000	Buffer A	2011-04-08	22910870	0.5299	29948	29792
393	fStomach		ENCSR941SMM	ENCLB781ZGY	ENCBS716QQK	AG8939	LN4388	DS18821		Digestive		Stomach	Primary	Primary	Endoderm	Stomach	Fetal	101D	U		H24125	Biosample protocol	Experiment protocol	TS	minElute	80	22.9	5040000	A+Sucrose	2011-04-19	34744227	0.3068	34449	34156
394	fMuscle_back		ENCSR106RBR	ENCLB887CHS	ENCBS020XIW	AG8938	LN4392	DS18842		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_back	Fetal	115D	F		H24143	Biosample protocol	Experiment protocol	TS	minElute	80	40.3	6840000	A+Sucrose	2011-04-21	28728695	0.4188	41047	40795
395	fMuscle_leg		ENCSR938UOR	ENCLB992COW	ENCBS003JOU	AG8937	LN4393	DS18844		Musculoskeletal		Muscle	Primary	Primary	Mesoderm	Muscle_leg	Fetal	115D	F		H24143	Biosample protocol	Experiment protocol	TS	minElute	80	21.3	3780000	A+Sucrose	40655	20832621	0.323	22788	22611
396	fKidney_renal_cortex_R		ENCSR887BNC	ENCLB048XRX	ENCBS183TBX	AG8935	LN4408	DS18928		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	120D	M		H24169	Biosample protocol	Experiment protocol	TS	minElute	60	21.6	5270000	A+Sucrose	2011-05-03	29520680	0.3929	40835	40553
397	fKidney_renal_cortex_L		ENCSR039ZVQ	ENCLB100VMV	ENCBS281CNH	AG8934	LN4409	DS18931		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	120D	M		H24169	Biosample protocol	Experiment protocol	TS	minElute	60	19	6300000	A+Sucrose	2011-05-03	23443402	0.416	32963	32690
398	fTestes		ENCSR278FHC	ENCLB728VGZ	ENCBS796DWQ	AG8933	LN4413	DS18942		Genitourinary		Gonad	Primary	Primary	Mesoderm	Testes	Fetal	113D,115D	M		H24198+H23640	Biosample protocol	Experiment protocol	TS	minElute	60	19.6	5760000	A+Sucrose	2011-05-04	27478973	0.4289	43570	43307
399	fKidney_renal_pelvis_R	Tissue invariant	ENCSR540PVZ	ENCLB220BDZ	ENCBS855RFN	AG8932	LN4423	DS18961		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	120D	M		H24169	Biosample protocol	Experiment protocol	TS	minElute	65	18.3	6960000	A+Sucrose	2011-05-05	25829289	0.4315	43496	43292
400	fKidney_renal_pelvis_L	Tissue invariant	ENCSR320SVK	ENCLB068YPZ	ENCBS226ZND	AG8931	LN4424	DS18964		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	120D	M		H24169	Biosample protocol	Experiment protocol	TS	minElute	60	14.3	6900000	A+Sucrose	2011-05-05	29979756	0.3758	43121	42893
401	GM04504A	Stromal A	ENCSR000EMP	ENCLB432ZZZ	ENCBS016ENC	AG4043	LN4427	DS18973	DS18975	Connective		Skin	Primary	Primary	Mesoderm	Fibroblast	Adult	31Y	F	Cauc	Family # 731	Biosample protocol	Experiment protocol	TS	minElute	160	22.3	7020000	PBS+A	2011-05-06	32704847	0.7541	88102	88012
402	GM04504A		ENCSR000EMP	ENCLB433ZZZ	ENCBS388KHM	AG4042	LN4428	DS18975	DS18973	Connective		Skin	Primary	Primary	Mesoderm	Fibroblast	Adult	31Y	F	Cauc	Family # 731	Biosample protocol	Experiment protocol	TS	minElute	120	21.2	7180000	PBS+A	2011-05-09	33363552	0.7318	89678	89583
403	fMuscle_arm		ENCSR062DXC	ENCLB143IER	ENCBS433BGH	AG8930	LN4439	DS18992		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	115D	F		H24143	Biosample protocol	Experiment protocol	TS	minElute	100	44.1	8190000	A+Sucrose	2011-05-09	22690707	0.3605	28008	27769
404	fMuscle_arm		ENCSR270LZE	ENCLB237FGZ	ENCBS604DHW	AG8929	LN4445	DS19051		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	113D	M		H24198	Biosample protocol	Experiment protocol	TS	minElute	100	26.2	4410000	A+Sucrose	2011-05-12	25671047	0.3402	28533	28298
405	fMuscle_arm		ENCSR619BNL	ENCLB927RKF	ENCBS980APB	AG8928	LN4446	DS19053		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	96D	M		H24218	Biosample protocol	Experiment protocol	TS	minElute	100	30	3600000	A+Sucrose	2011-05-12	32907287	0.3534	36716	36370
406	fMuscle_leg		ENCSR033DQS	ENCLB569ADS	ENCBS947JRD	AG8926	LN4468	DS19115		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_leg	Fetal	96D	M		H24218	Biosample protocol	Experiment protocol	TS	minElute	80	29	6030000	A+Sucrose	2011-05-18	31111731	0.4275	47474	47215
407	fMuscle_back		ENCSR295ELC	ENCLB370TUO	ENCBS897YOR	AG8925	LN4469	DS19117		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_back	Fetal	96D	M		H24218	Biosample protocol	Experiment protocol	TS	minElute	80	13.5	2700000	A+Sucrose	2011-05-18	35542022	0.3664	33795	33538
408	fSkin_fibro_back		ENCSR184LMY	ENCLB186EVC	ENCBS336CDQ	AG8923	LN4486	DS19174	DS19233	Connective		Skin	Primary	Primary	Mesoderm	Skin_fibro_back	Fetal	96D	M		H24218	Biosample protocol	Experiment protocol	TS	minElute	160	32.4	9680000	PBS+A	2011-05-24	242982733	0.6782	239511	239318
409	fSkin_fibro_back		ENCSR067XUN	ENCLB903VKT	ENCBS336CDQ	AG8922	LN4490	DS19233	DS19174	Connective		Skin	Primary	Primary	Mesoderm	Skin_fibro_back	Fetal	96D	M		H24218	Biosample protocol	Experiment protocol	TS	minElute	160	24.8	13120000	PBS+A	2011-05-25	30502874	0.6782	85027	84973
410	fKidney_renal_pelvis_R		ENCSR986HEN	ENCLB900API	ENCBS827OFK	AG8921	LN4491	DS19235		Renal		Kidney	Primary	Primary	Mesoderm	Kidney_renal_pelvis_R	Fetal	105D	M		H24232	Biosample protocol	Experiment protocol	TS	minElute	60	19.6	6900000	A+Sucrose	2011-05-25	29285437	0.3721	47353	47167
411	fKidney_renal_pelvis_L		ENCSR258IBL	ENCLB234ZEF	ENCBS754ANY	AG8920	LN4492	DS19238		Renal		Kidney	Primary	Primary	Mesoderm	Kidney_renal_pelvis_L	Fetal	105D	M		H24232	Biosample protocol	Experiment protocol	TS	minElute	60	3	2160000	A+Sucrose	2011-05-26	32635538	0.483	47624	47450
412	fKidney_renal_cortex_R		ENCSR268QCH	ENCLB234NXN	ENCBS818WCN	AG8919	LN4498	DS19254		Renal		Kidney	Primary	Primary	Mesoderm	Kidney_renal_cortex_R	Fetal	105D	M		H24232	Biosample protocol	Experiment protocol	TS	minElute	60	16.7	5710000	A+Sucrose	2011-05-31	27338258	0.5307	46303	46045
413	fKidney_renal_cortex_L		ENCSR928SYE	ENCLB732POP	ENCBS636QOC	AG8918	LN4499	DS19257		Renal		Kidney	Primary	Primary	Mesoderm	Kidney_renal_cortex_L	Fetal	105D	M		H24232	Biosample protocol	Experiment protocol	TS	minElute	60	32.7	6750000	A+Sucrose	2011-05-31	31905465	0.5349	55648	55378
414	fMuscle_arm		ENCSR303YII	ENCLB307GSJ	ENCBS892WJE	AG8917	LN4501	DS19270		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	96D	M		H24244	Biosample protocol	Experiment protocol	TS	minElute	100	7.3	4050000	A+Sucrose	2011-06-01	32846465	0.4938	58722	58491
415	fMuscle_leg	Musculoskeletal	ENCSR297ORG	ENCLB287ODF	ENCBS099OIO	AG8916	LN4502	DS19272		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_leg	Fetal	96D	M		H24244	Biosample protocol	Experiment protocol	TS	minElute	80	17.6	6300000	A+Sucrose	2011-06-01	47461180	0.5565	79692	79401
416	fMuscle_upper_back		ENCSR698CUE	ENCLB833PHR	ENCBS479AOA	AG8915	LN4506	DS19283		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_upper_back	Fetal	96D	M		H24244	Biosample protocol	Experiment protocol	TS	minElute	80	16.3	2160000	A+Sucrose	2011-06-03	29564149	0.4184	34487	34248
417	fMuscle_leg		ENCSR294QCR	ENCLB123BGQ	ENCBS143XQJ	AG8913	LN4510	DS19291		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_leg	Fetal	97D	M		H24259	Biosample protocol	Experiment protocol	TS	minElute	60	14.4	5040000	A+Sucrose	2011-06-03	25614262	0.5248	52107	51945
418	fMuscle_arm		ENCSR649PJN	ENCLB736PUY	ENCBS973IDY	AG8912	LN4511	DS19295		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	97D	M		H24259	Biosample protocol	Experiment protocol	TS	minElute	80	14.1	5500000	A+Sucrose	2011-06-06	24892183	0.5263	45485	45298
419	Mesendoderm	Primitive / embryonic	ENCSR714DIF	ENCLB903DZR	ENCBS084NIJ	AG8911	LN4515	DS19310	DS18732	Embryonic		Germ	Lines	ESC	Primitive	Mesendoderm	Embryonic					Biosample protocol	Experiment protocol	TS	minElute	60	25.5	5970000	Buffer A	2011-06-07	270380677	0.5299	280673	279999
420	fMuscle_arm		ENCSR309YDN	ENCLB379MQL	ENCBS219ZEK	AG8910	LN4520	DS19380		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	85D	F		H24272	Biosample protocol	Experiment protocol	TS	minElute	80	17.9	6840000	A+Sucrose	2011-06-10	31785183	0.5176	58508	58226
421	fMuscle_back		ENCSR193LYA	ENCLB418RYV	ENCBS825MQT	AG8909	LN4522	DS19384		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_back	Fetal	85D	F		H24272	Biosample protocol	Experiment protocol	TS	minElute	80	12.5	5130000	A+Sucrose	2011-06-10	33193087	0.552	61880	61565
422	fKidney_renal_pelvis		ENCSR364TKL	ENCLB086BKE	ENCBS785KTZ	AG8908	LN4523	DS19386		Renal		Kidney	Primary	Primary	Mesoderm	Kidney_renal_pelvis	Fetal	97D	M		H24259	Biosample protocol	Experiment protocol	TS	minElute	60	9.4	4410000	A+Sucrose	2011-06-10	25427379	0.4476	41133	40905
423	fKidney_renal_cortex	Tissue invariant	ENCSR550UWM	ENCLB641KWQ	ENCBS026RJE	AG8907	LN4524	DS19388		Renal		Kidney	Primary	Primary	Mesoderm	Kidney_renal_cortex	Fetal	97D	M		H24259	Biosample protocol	Experiment protocol	TS	minElute	60	11	6660000	A+Sucrose	2011-06-13	20988773	0.6053	43959	43742
424	fPlacenta	Placental / trophoblast	ENCSR648RAX	ENCLB558ALO	ENCBS755ISG	AG8906	LN4525	DS19391		Fetal Life Support		Placenta	Primary	Primary	Endoderm	Placenta	Fetal	85D	F		H24272	Biosample protocol	Experiment protocol	TS	minElute	60	16.7	4560000	A+Sucrose	2011-06-13	34069627	0.5477	84669	84506
425	fHeart	Cardiac	ENCSR392GCE	ENCLB150PDN	ENCBS172XKB	AG8905	LN4528	DS19427		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	120D	M		H24042	Biosample protocol	Experiment protocol	TS	minElute	80	22.7	7280000	A+Sucrose	2011-06-15	40109410	0.6327	86932	86720
426	fHeart	Cardiac	ENCSR064GBK	ENCLB629CQG	ENCBS407ALA	AG8904	LN4529	DS19431		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	91D	F		H23744	Biosample protocol	Experiment protocol	TS	minElute	80	7.8	4590000	A+Sucrose	2011-06-15	37454064	0.6242	74897	74683
427	fMuscle_leg	Musculoskeletal	ENCSR167XSQ	ENCLB732WZU	ENCBS984JKS	AG8903	LN4531	DS19436		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_leg	Fetal	101D	M		H24279	Biosample protocol	Experiment protocol	TS	minElute	80	16.9	7290000	A+Sucrose	2011-06-17	36848570	0.5389	73475	73254
428	fMuscle_back		ENCSR174GXG	ENCLB276NVX	ENCBS136EGD	AG8902	LN4533	DS19441		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_back	Fetal	101D	M		H24279	Biosample protocol	Experiment protocol	TS	minElute	100	25.8	4050000	A+Sucrose	2011-06-20	27952050	0.5195	52039	51783
429	fSkin_fibro_scalp		ENCSR360LBD	ENCLB613QNN	ENCBS890NFL	AG8901	LN4534	DS19444	DS19449	Connective		Skin	Primary	Primary	Mesoderm	Skin_fibro_scalp	Fetal	97D	M		H24259	Biosample protocol	Experiment protocol	TS	minElute	80	19.6	12600000	PBS+A	2011-06-20	25393646	0.6399	76778	76729
430	fSkin_fibro_scalp	Stromal B	ENCSR770DEN	ENCLB972ZRN	ENCBS180EDA	AG8900	LN4535	DS19449	DS19444	Connective		Skin	Primary	Primary	Mesoderm	Skin_fibro_scalp	Fetal	97D	M		H24259	Biosample protocol	Experiment protocol	TS	minElute	80	13.7	10600000	PBS+A	2011-06-20	272413636	0.7053	241689	241496
431	fSkin_fibro_abdomen	Stromal A	ENCSR176KYD	ENCLB847WYZ	ENCBS405WVO	AG8899	LN4586	DS19558	DS19561	Connective		Skin	Primary	Primary	Mesoderm	Skin_fibro_abdomen	Fetal	97D	M		H24259	Biosample protocol	Experiment protocol	TS	minElute	120	26.7	9700000	PBS+A	2011-06-28	32822395	0.4626	76630	76567
432	fSkin_fibro_abdomen	Stromal B	ENCSR622TWS	ENCLB616NHI	ENCBS599YIE	AG8898	LN4587	DS19561	DS19558	Connective		Skin	Primary	Primary	Mesoderm	Skin_fibro_abdomen	Fetal	97D	M		H24259	Biosample protocol	Experiment protocol	TS	minElute	80	13	18600000	PBS+A	2011-06-28	265470134	0.618	235278	235079
433	fMuscle_leg		ENCSR861NUH	ENCLB340MIB	ENCBS841QUZ	AG8897	LN4607	DS19643		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_leg	Fetal	104D	M		H24297	Biosample protocol	Experiment protocol	TS	minElute	80	16.9	5990000	A+Sucrose	2011-07-01	27853503	0.5248	52756	52588
434	fMuscle_arm		ENCSR951XEN	ENCLB669FYE	ENCBS474LPU	AG8896	LN4608	DS19646		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_arm	Fetal	104D	M		H24297	Biosample protocol	Experiment protocol	TS	minElute	100	25.8	6840000	A+Sucrose	2011-07-01	28747559	0.3931	43970	43721
435	fMuscle_back		ENCSR141NSQ	ENCLB015UCM	ENCBS152UTM	AG8895	LN4609	DS19648		Musculoskeletal	Skeletal Muscle	Muscle	Primary	Primary	Mesoderm	Muscle_back	Fetal	104D	M		H24297	Biosample protocol	Experiment protocol	TS	minElute	100	25.8	5760000	A+Sucrose	2011-07-05	67804941	0.527	120006	119769
436	fSkin_fibro_upper_back	Stromal A	ENCSR670VQZ	ENCLB279JDA	ENCBS626MGZ	AG8894	LN4630	DS19696		Connective		Skin	Primary	Primary	Mesoderm	Skin_fibro_upper_back	Fetal	97D	M		H24259	Biosample protocol	Experiment protocol	TS	minElute	80	6.9	17000000	PBS+A	2011-07-08	25709926	0.5771	73562	73508
437	fSkin_fibro_upper_back	Stromal B	ENCSR325LYJ	ENCLB041IUQ	ENCBS696WUI	AG8893	LN4632	DS19706	DS20056	Connective		Skin	Primary	Primary	Mesoderm	Skin_fibro_upper_back	Fetal	97D	M		H24259	Biosample protocol	Experiment protocol	TS	minElute	80	4.6	19400000	PBS+A	2011-07-08	275786816	0.6997	252156	251957
